model,dataset,difficulty_band,diff_lo,diff_hi,signal,predictive_power,n,class_balance
mistral7b,humaneval,hard,0.67,1.01,collapsed_rate_mean,0.5717076053739261,1570,0.05987261146496815
mistral7b,humaneval,hard,0.67,1.01,hidden_max_abs_last_layer_mean,0.5649541601798996,1570,0.05987261146496815
mixtral,gsm8k,easy,0.0,0.33,entropy_mean,0.6388888888888888,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,surprisal_mean,0.625,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,margin_mean,0.6194444444444445,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,l2_norm_slope,0.6083333333333333,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,compound_density_per_100t,0.7472222222222222,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,early10_surprisal_mean,0.6027777777777779,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,early10_entropy_mean,0.6972222222222222,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,risk_score,0.5083333333333333,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,concentration_min_mean,0.6944444444444444,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,focused_head_rate,0.5638888888888889,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,entropy_std,0.65,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,margin_std,0.6,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,perplexity_mean,0.6333333333333333,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,collapsed_rate_mean,0.5888888888888889,66,0.9090909090909091
mixtral,gsm8k,easy,0.0,0.33,hidden_max_abs_last_layer_mean,0.5194444444444445,66,0.9090909090909091
mixtral,gsm8k,medium,0.33,0.67,entropy_mean,0.666983695652174,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,surprisal_mean,0.6595448369565218,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,margin_mean,0.6539402173913043,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,l2_norm_slope,0.5415421195652174,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,compound_density_per_100t,0.5471807065217391,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,early10_surprisal_mean,0.5249830163043478,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,early10_entropy_mean,0.5233016304347826,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,risk_score,0.5175611413043478,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,concentration_min_mean,0.5714334239130435,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,focused_head_rate,0.6269361413043478,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,entropy_std,0.6484714673913043,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,margin_std,0.6313858695652175,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,perplexity_mean,0.6582880434782609,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,collapsed_rate_mean,0.5616847826086957,448,0.8214285714285714
mixtral,gsm8k,medium,0.33,0.67,hidden_max_abs_last_layer_mean,0.524898097826087,448,0.8214285714285714
mixtral,gsm8k,hard,0.67,1.01,entropy_mean,0.5866703049321236,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,surprisal_mean,0.5910362234804557,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,margin_mean,0.592264138072174,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,l2_norm_slope,0.5261614025513337,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,compound_density_per_100t,0.5095845555631353,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,early10_surprisal_mean,0.5546080905928099,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,early10_entropy_mean,0.5004434136025651,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,risk_score,0.5016031107169656,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,concentration_min_mean,0.5155194760897742,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,focused_head_rate,0.5275257520976874,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,entropy_std,0.5693430656934306,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,margin_std,0.5945153148236578,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,perplexity_mean,0.5780066853127772,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,collapsed_rate_mean,0.5220683539122724,244,0.4385245901639344
mixtral,gsm8k,hard,0.67,1.01,hidden_max_abs_last_layer_mean,0.5305955385769834,244,0.4385245901639344
mixtral,humaneval,medium,0.33,0.67,entropy_mean,0.5378787878787878,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,surprisal_mean,0.6856060606060606,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,margin_mean,0.6590909090909091,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,l2_norm_slope,0.6174242424242424,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,compound_density_per_100t,0.6420454545454546,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,early10_surprisal_mean,0.8560606060606061,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,early10_entropy_mean,0.5416666666666667,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,risk_score,0.5965909090909092,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,concentration_min_mean,0.5303030303030303,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,focused_head_rate,0.5454545454545454,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,entropy_std,0.5037878787878788,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,margin_std,0.6439393939393939,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,perplexity_mean,0.5265151515151514,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,collapsed_rate_mean,0.5984848484848485,70,0.05714285714285714
mixtral,humaneval,medium,0.33,0.67,hidden_max_abs_last_layer_mean,0.5681818181818181,70,0.05714285714285714
mixtral,humaneval,hard,0.67,1.01,entropy_mean,0.5619602694249635,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,surprisal_mean,0.5776731674512441,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,margin_mean,0.5658030977466082,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,l2_norm_slope,0.5604658361887683,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,compound_density_per_100t,0.5130389299858029,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,early10_surprisal_mean,0.797306817817914,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,early10_entropy_mean,0.7469230687119053,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,risk_score,0.5132577577096743,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,concentration_min_mean,0.5408674117483802,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,focused_head_rate,0.5517981234188363,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,entropy_std,0.5653654422988653,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,margin_std,0.5677885590461246,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,perplexity_mean,0.5798934682593055,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,collapsed_rate_mean,0.5147575282074274,1550,0.04064516129032258
mixtral,humaneval,hard,0.67,1.01,hidden_max_abs_last_layer_mean,0.5032397177656088,1550,0.04064516129032258
qwen,gsm8k,easy,0.0,0.33,entropy_mean,0.6351118760757315,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,surprisal_mean,0.6299483648881239,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,margin_mean,0.6867469879518072,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,l2_norm_slope,0.6385542168674698,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,compound_density_per_100t,0.6876075731497417,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,early10_surprisal_mean,0.5421686746987953,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,early10_entropy_mean,0.6996557659208261,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,risk_score,0.5628227194492255,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,concentration_min_mean,0.693631669535284,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,focused_head_rate,0.7142857142857143,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,entropy_std,0.576592082616179,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,margin_std,0.7039586919104992,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,perplexity_mean,0.6092943201376937,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,collapsed_rate_mean,0.710843373493976,90,0.9222222222222223
qwen,gsm8k,easy,0.0,0.33,hidden_max_abs_last_layer_mean,0.5025817555938037,90,0.9222222222222223
qwen,gsm8k,medium,0.33,0.67,entropy_mean,0.5013761687189678,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,surprisal_mean,0.5002765996680804,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,margin_mean,0.5211752412563772,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,l2_norm_slope,0.5755800056002895,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,compound_density_per_100t,0.6112477035397927,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,early10_surprisal_mean,0.5310577034714965,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,early10_entropy_mean,0.5479610165208542,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,risk_score,0.5134406949822772,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,concentration_min_mean,0.6211745582942337,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,focused_head_rate,0.5922408670887374,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,entropy_std,0.5306479261854515,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,margin_std,0.5232992535223773,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,perplexity_mean,0.5156500775162033,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,collapsed_rate_mean,0.5995929545625287,822,0.3175182481751825
qwen,gsm8k,medium,0.33,0.67,hidden_max_abs_last_layer_mean,0.5251705697953162,822,0.3175182481751825
qwen,gsm8k,hard,0.67,1.01,entropy_mean,0.5624605195153233,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,surprisal_mean,0.574242453245535,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,margin_mean,0.5535881778679581,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,l2_norm_slope,0.5324362091077889,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,compound_density_per_100t,0.5315556746616642,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,early10_surprisal_mean,0.5026559598782565,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,early10_entropy_mean,0.5351304530923987,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,risk_score,0.5555980934515036,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,concentration_min_mean,0.5340058574682721,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,focused_head_rate,0.5548467678643212,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,entropy_std,0.5674374533412454,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,margin_std,0.5487739514940373,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,perplexity_mean,0.5668631917459466,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,collapsed_rate_mean,0.5346901858693364,997,0.119358074222668
qwen,gsm8k,hard,0.67,1.01,hidden_max_abs_last_layer_mean,0.567485308474187,997,0.119358074222668
qwen,humaneval,medium,0.33,0.67,entropy_mean,0.8569696969696969,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,surprisal_mean,0.8412121212121212,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,margin_mean,0.8557575757575757,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,l2_norm_slope,0.8303030303030303,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,compound_density_per_100t,0.8078787878787878,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,early10_surprisal_mean,0.703030303030303,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,early10_entropy_mean,0.703030303030303,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,risk_score,0.776969696969697,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,concentration_min_mean,0.7733333333333334,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,focused_head_rate,0.7624242424242424,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,entropy_std,0.8448484848484848,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,margin_std,0.8581818181818182,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,perplexity_mean,0.8472727272727273,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,collapsed_rate_mean,0.7733333333333333,70,0.7857142857142857
qwen,humaneval,medium,0.33,0.67,hidden_max_abs_last_layer_mean,0.646060606060606,70,0.7857142857142857
qwen,humaneval,hard,0.67,1.01,entropy_mean,0.6551574347934407,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,surprisal_mean,0.6753310634274727,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,margin_mean,0.6356545569531306,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,l2_norm_slope,0.8288627260589878,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,compound_density_per_100t,0.8708996365169508,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,early10_surprisal_mean,0.6045125558160482,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,early10_entropy_mean,0.6451376955557968,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,risk_score,0.5955819881053526,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,concentration_min_mean,0.836490120799024,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,focused_head_rate,0.7712675912380783,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,entropy_std,0.6867338269207428,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,margin_std,0.6372515826524681,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,perplexity_mean,0.6737659782421219,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,collapsed_rate_mean,0.7225710836138776,1570,0.06815286624203822
qwen,humaneval,hard,0.67,1.01,hidden_max_abs_last_layer_mean,0.7094052037485387,1570,0.06815286624203822
